GeneSymbol	A21_05_C3_P5_299466	A21_05_C3_P5_481136	A21_05_C3_P5_652329	A21_05_C3_P5_494412	A21_05_C3_P5_856756	A21_05_C3_P5_678766	A21_05_C3_P5_757592	A21_05_C3_P5_848919	A21_05_C3_P5_634645	A21_05_C3_P5_255703	A21_05_C3_P5_440336	A21_05_C3_P5_371750	A21_05_C3_P5_759161
GDF6	0.000	1.457	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.446	0.000	0.000	0.000
GDNF	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
GEN1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.439	0.000	0.000	0.000	0.483
GFPT2	1.067	1.196	1.313	1.041	0.413	0.699	0.694	0.931	0.743	0.989	1.201	0.453	0.808
GFRA1	0.820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.763	0.000
GGH	0.000	0.285	0.000	0.864	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.763	0.483
GINS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GINS2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GINS4	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GJA1	1.430	0.687	1.861	1.798	2.160	1.881	1.255	1.966	1.786	2.183	1.731	2.063	2.135
GJB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GLDN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GLIPR1	1.265	1.378	0.373	0.650	1.269	0.923	0.406	0.705	1.689	0.989	0.000	1.489	0.483
GLIS2	0.276	0.285	0.373	0.377	0.705	0.699	0.694	0.000	0.000	0.000	0.771	0.453	0.000
GLS	1.571	1.782	1.428	0.000	1.403	0.699	0.406	1.724	0.439	1.338	1.829	1.191	1.052
GMNN	0.000	0.285	0.000	0.000	0.000	0.409	0.406	0.000	0.000	0.000	0.000	0.000	0.483
GNL3	0.670	0.687	0.858	0.377	0.413	0.409	0.406	0.931	0.439	0.989	1.009	0.763	0.483
GNPNAT1	0.492	0.285	0.373	0.377	0.000	0.699	0.694	0.000	0.000	0.000	0.000	0.000	0.483
GPAM	0.000	0.285	0.373	0.377	0.413	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
GPAT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPAT3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
GPATCH4	0.000	0.285	0.373	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.458	0.000	0.000
GPC3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPC4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPC6	0.000	0.285	0.858	1.041	1.965	0.409	1.612	0.931	0.439	0.446	1.009	1.000	1.249
GPNMB	0.000	0.000	0.000	0.377	0.413	0.000	0.000	0.000	1.165	1.179	0.771	0.000	1.052
GPR65	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPR68	0.276	0.285	0.373	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPSM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.458	0.453	0.000
GPX3	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.705	0.000	0.754	0.000	0.000	0.000
GRB14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GREB1L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GREM1	2.571	1.600	2.974	3.154	1.891	1.714	1.255	2.036	2.166	0.989	1.731	2.133	0.000
GREM2	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRIA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRIN2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRPEL1	0.000	0.000	0.000	0.000	0.705	0.000	0.694	0.000	0.000	0.754	0.000	0.000	0.000
GTPBP4	0.000	0.841	0.645	0.000	0.000	0.699	1.506	0.000	0.439	0.446	0.458	0.763	0.000
GTSE1	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GUCY1A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GUCY1A2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GUCY1B1	0.276	0.000	0.000	0.000	0.705	0.000	0.000	0.000	0.439	0.000	0.000	0.453	0.000
H19	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.743	2.245	0.000	0.000	3.387
H1F0	1.171	0.506	0.373	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.453	0.808
H2AFX	0.276	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.483
H2AFY2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H2AFZ	0.492	0.506	1.034	1.041	0.705	2.408	1.100	1.270	0.439	0.446	1.362	0.453	1.052
HAS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HAS2	0.000	1.091	0.858	1.633	0.000	0.699	0.918	1.404	1.461	0.446	0.000	1.191	0.483
HAT1	0.000	0.285	0.373	0.000	0.000	0.000	0.000	1.114	0.000	0.000	0.000	0.453	0.000
HAUS6	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
HBEGF	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HCG14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HCLS1	0.276	0.285	0.373	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.453	0.000
HDGF	0.670	0.506	1.313	1.190	0.930	0.923	1.506	1.404	1.689	1.705	1.362	1.611	1.413
HEG1	0.820	0.506	0.373	0.864	1.628	0.000	0.406	0.000	0.000	0.000	1.009	0.000	0.000
HELLS	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.808
HERC5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HES1	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HES6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HEXD-IT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HEYL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HFM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HGF	0.000	0.000	0.645	0.000	0.705	0.000	1.100	0.413	0.976	0.000	0.000	0.453	1.052
HHIP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HIF1A	1.067	1.887	1.531	0.650	0.930	0.923	1.388	1.966	1.581	0.754	1.362	2.063	1.052
HIST1H1A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HIST1H1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HIST1H1D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HIST1H2AC	1.265	0.687	0.645	0.650	1.269	0.409	0.406	0.413	0.976	0.000	0.000	0.763	0.000
HIST1H4C	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.453	0.000
HJURP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HK2	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HLA-B	0.492	1.531	1.531	1.436	2.035	1.714	1.255	2.419	0.976	2.048	0.771	2.199	1.787
HMCN1	0.492	0.506	0.373	0.000	0.930	0.923	0.000	1.114	0.743	0.000	0.771	1.611	0.000
HMGA1	0.820	1.378	1.531	0.377	0.930	1.261	1.506	0.000	1.955	1.705	1.362	1.191	1.413
HMGA2	0.000	0.285	0.858	0.650	0.413	0.000	0.000	0.413	0.000	0.754	0.458	0.453	0.000
HMGB1	1.430	0.974	1.034	1.436	1.723	2.207	1.612	1.523	1.874	0.754	2.000	1.000	1.249
HMGB2	0.000	0.285	0.645	0.377	0.413	0.409	0.918	0.413	0.743	0.446	0.458	0.763	0.000
HMGB3	0.276	0.000	0.000	0.650	0.000	0.000	0.406	0.705	0.743	0.446	0.000	0.000	0.483
HMGCR	0.000	0.000	0.000	0.000	0.705	0.000	0.918	0.413	0.976	0.754	0.458	0.453	1.249
HMGCS1	0.492	0.000	0.645	0.000	0.413	0.000	0.000	0.000	0.743	1.476	0.000	0.453	0.808
HMGN2	1.571	1.196	1.034	0.377	1.628	1.395	1.255	1.114	1.165	1.338	1.623	0.763	0.808
HMMR	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
HMOX1	0.000	0.000	0.000	1.798	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808
HNRNPA2B1	1.265	1.600	1.993	1.539	1.811	2.025	2.254	1.812	2.227	1.802	1.731	1.489	2.393
HNRNPA3	0.670	1.378	1.313	0.000	1.269	1.261	0.918	0.931	0.439	1.476	1.009	1.191	1.554
HNRNPA3P1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HNRNPAB	1.351	1.196	0.858	1.321	0.000	1.106	1.255	1.270	0.000	0.989	0.458	0.763	0.808
HNRNPD	0.670	0.841	0.858	0.650	0.413	1.513	0.918	0.000	0.976	1.179	0.458	0.453	1.052
HNRNPDL	0.951	0.506	0.000	0.377	1.269	1.261	0.918	0.931	1.324	0.989	1.501	1.191	0.483
HNRNPH3	0.670	0.687	0.373	0.000	0.000	0.409	0.000	0.000	0.743	0.000	0.458	0.453	0.808
HNRNPM	0.670	0.506	0.373	0.650	0.413	0.923	0.918	0.931	1.689	0.754	1.009	1.489	1.249
HOXA10	0.000	0.000	1.034	0.000	0.000	0.000	0.406	0.705	0.000	0.000	0.000	0.453	0.000
HOXA5	0.820	0.285	0.373	0.377	0.000	0.000	0.000	0.413	0.000	0.446	0.000	0.000	0.000
HOXA9	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.743	0.446	0.458	0.453	0.000
HOXB-AS3	0.000	0.000	0.000	0.000	0.413	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
HOXB5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.453	0.000
HOXB6	0.000	0.506	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.808
HOXB8	0.492	0.000	0.373	0.000	0.413	0.923	0.918	0.000	0.000	0.000	0.000	0.000	0.000
HOXC10	0.492	0.285	1.313	0.000	0.000	1.106	0.694	0.000	0.439	0.000	0.458	0.763	0.483
HOXC8	1.430	1.531	1.531	1.041	0.705	0.699	1.100	1.628	0.976	1.338	1.731	1.611	0.483
HOXD1	0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HS3ST3A1	0.492	0.285	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808
HSP90AA1	2.117	1.982	2.262	2.404	2.035	2.207	2.200	2.507	1.955	2.183	2.000	2.474	2.272
HSP90AB1	1.430	2.446	2.547	2.445	2.099	1.714	2.445	2.218	3.011	2.635	2.438	1.906	2.448
HSP90B1	1.995	2.604	2.394	2.223	3.090	2.685	2.567	2.661	3.229	2.506	2.386	3.073	2.597
HSPA1A	0.276	0.506	0.000	0.000	0.705	0.409	0.406	0.413	0.000	0.000	0.771	0.453	0.483
HSPA1B	0.000	0.506	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.446	0.000	0.000	0.000
HSPA4L	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.771	0.000	0.000
HSPA5	1.635	1.457	1.624	1.719	1.628	1.956	1.948	1.892	2.030	2.183	2.000	2.690	1.787
HSPA8	1.571	2.474	1.710	1.321	1.269	1.261	2.017	1.966	1.581	2.118	2.212	1.489	1.976
HSPA9	0.276	1.196	0.000	0.650	0.413	0.000	0.000	0.705	0.976	0.000	0.458	0.453	0.000
HSPB6	0.951	1.725	2.851	1.719	1.811	1.714	1.100	1.966	2.440	1.597	1.623	2.610	1.554
HSPB7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HSPD1	0.492	0.974	0.858	0.650	0.930	0.699	0.918	1.270	1.165	0.446	2.212	1.191	1.052
HSPE1	0.276	0.506	0.645	0.650	0.413	0.409	0.000	0.000	0.000	0.446	0.771	0.453	0.000
HSPH1	1.171	0.841	0.373	1.041	0.413	0.923	1.100	0.705	0.743	1.179	0.771	1.191	0.000
HTR2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HTR7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HTRA1	1.265	1.196	1.428	1.321	2.463	0.699	1.612	2.161	2.616	2.183	1.623	2.318	1.554
HTRA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HUNK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HYDIN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HYLS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HYOU1	0.670	0.506	0.858	0.000	0.705	0.699	0.694	0.000	0.000	0.989	0.000	0.763	0.000
ICAM1	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ICAM4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ID1	0.670	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.446	0.000	0.000	0.483
ID2	0.276	0.000	0.373	0.377	0.705	0.409	0.000	0.000	0.000	0.000	0.458	0.453	0.000
ID3	0.951	0.285	0.000	0.000	0.000	0.409	0.000	0.413	0.000	0.446	0.000	0.000	0.483
ID4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IDI1	0.000	0.000	0.000	0.377	0.413	0.000	0.406	0.000	0.000	0.754	0.771	0.453	0.000
IER2	0.000	0.285	0.373	0.000	0.000	0.000	0.000	0.931	0.000	0.000	0.458	0.453	0.000
IER3	1.571	1.291	0.000	1.041	1.114	0.409	0.406	0.705	0.743	0.000	0.458	0.453	0.000
IER5L	0.492	0.506	0.373	0.650	0.000	0.409	0.000	0.000	0.000	0.446	0.000	0.453	0.483
IFI27	0.276	0.000	0.000	0.000	0.000	0.699	0.918	0.413	0.000	0.000	0.000	0.453	0.000
IFI44L	0.276	0.285	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.483
IFI6	1.905	0.285	0.858	0.377	1.628	2.089	2.082	0.705	0.000	0.446	0.458	2.063	1.249
IFIH1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
IFIT1	0.276	0.000	0.373	0.000	0.000	0.000	0.406	0.000	0.000	0.446	0.000	0.000	0.483
IFIT2	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IFIT3	0.000	0.000	0.373	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
IGF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IGF2BP1	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IGF2BP3	0.000	0.000	0.645	0.000	0.000	0.000	1.100	0.000	0.000	0.000	0.000	0.000	1.052
IGFBP3	3.859	2.652	0.000	0.000	0.705	2.150	0.000	0.000	0.439	0.989	0.771	0.000	0.000
IGFBP4	0.670	1.782	2.352	1.719	2.825	1.513	1.506	2.273	1.955	1.476	0.771	1.611	2.334
IGFBP5	1.752	3.454	0.000	2.521	3.423	2.783	0.918	1.523	1.786	2.883	0.458	0.763	2.334
IGFBP6	0.276	0.841	0.373	1.633	0.413	0.409	0.000	0.413	0.743	0.446	0.000	1.000	0.000
IGFBP7	1.351	2.069	1.428	2.484	0.000	2.150	0.000	0.931	0.439	0.000	0.771	0.763	0.000
IGSF10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IGSF3	0.000	0.000	0.000	0.000	0.000	0.923	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IKZF2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL13RA2	0.000	0.000	0.000	1.939	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
IL1R1	0.276	0.000	0.645	0.650	0.413	0.409	0.406	0.705	0.743	0.446	0.771	1.000	1.052
IL1RN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL32	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000
IL33	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL6R	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL7R	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ILDR2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
INCENP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
INHBA	0.820	2.325	0.858	2.223	0.000	1.395	0.918	1.628	1.165	1.338	1.731	1.191	0.808
INPP4B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
INPP5D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
INSIG1	0.276	0.000	0.645	1.321	0.000	0.000	0.918	0.000	1.324	1.597	0.771	1.000	1.413
INSYN2B	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
IQCA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
IQGAP2	0.000	0.000	0.000	0.000	0.000	0.409	0.406	0.000	0.000	0.000	0.000	0.000	0.000
IQGAP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IRF1	0.276	0.000	0.373	0.650	0.000	0.409	0.000	0.000	0.000	0.446	0.000	0.453	0.808
IRS2	0.000	0.000	0.000	0.377	0.000	0.699	0.694	0.000	0.439	0.754	0.771	0.453	0.000
ISG15	1.171	0.506	0.858	0.000	0.413	0.923	1.255	0.000	0.743	0.000	0.000	1.000	0.483
ISLR	0.000	0.000	1.183	0.864	2.323	0.699	1.874	0.413	0.439	1.597	2.273	0.453	0.483
ITGA1	0.276	0.285	0.373	0.377	0.000	0.000	0.000	0.931	0.000	0.000	0.000	0.000	0.000
ITGA11	0.492	0.285	0.000	0.377	0.413	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITGA2	0.000	0.285	0.858	0.000	0.705	0.000	0.694	0.000	0.000	0.754	0.000	0.000	0.000
ITGA4	0.000	0.285	0.000	0.000	0.930	0.000	0.918	0.000	0.439	0.000	0.000	0.000	0.483
ITGAX	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITGB3BP	0.276	0.000	0.373	0.000	0.000	0.699	0.000	0.413	0.000	0.446	0.000	0.000	0.000
ITGB8	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.931	0.000	0.000	0.000	0.000	0.483
ITGBL1	2.441	1.091	0.645	0.864	1.628	1.261	0.918	0.931	1.165	0.754	1.201	0.763	1.554
ITM2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITM2C	0.670	0.506	0.373	1.321	1.114	0.923	0.406	0.931	0.439	0.754	1.623	1.489	0.483
JAG2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JAKMIP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JAKMIP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JAM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
JCAD	0.000	0.285	0.645	0.377	0.413	0.000	0.694	0.000	0.000	0.000	0.458	0.000	0.000
JPT1	0.670	0.506	0.373	0.864	0.930	1.881	0.406	0.413	0.439	0.000	0.000	0.763	0.000
JPT2	0.276	0.285	0.000	0.650	0.413	0.923	0.000	0.000	0.000	0.000	0.458	0.453	0.000
JUN	1.067	0.974	0.373	0.000	0.413	2.150	0.918	1.404	0.439	0.000	1.501	0.000	0.808
JUP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCND2	0.000	0.000	0.373	0.000	0.000	0.000	0.406	0.000	0.976	0.000	0.000	0.453	0.000
KCNE4	0.276	0.506	0.000	0.377	0.000	1.513	0.000	0.413	0.000	0.000	1.009	0.453	0.000
KCNH1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNJ2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
KCNK2	0.000	0.506	0.373	0.650	0.705	0.409	0.406	0.705	0.976	0.446	0.771	1.000	1.052
KCNK6	0.000	0.000	0.373	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNMA1	0.000	0.285	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNQ1OT1	0.276	0.285	0.000	0.000	0.413	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
KCNQ5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCTD12	1.067	0.506	1.183	2.173	0.413	1.261	1.506	1.523	1.581	2.118	1.501	1.817	1.976
KHDRBS3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.483
KIAA0586	0.000	0.506	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.754	0.000	0.000	0.483
KIF11	0.000	0.000	0.000	0.000	0.000	0.409	0.406	0.000	0.000	0.000	0.000	0.000	0.000
KIF14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF20A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF20B	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.446	0.000	0.000	0.000
KIF21A	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.931	0.000	0.000	0.000	0.000	0.000
KIF22	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF23	0.276	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF26A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF26B	0.492	0.285	0.645	0.000	1.114	0.409	0.406	0.000	1.165	1.179	0.000	0.453	1.249
KIF2C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF4A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
KIF5B	1.067	1.725	1.183	0.864	1.522	1.513	1.388	1.270	1.581	1.597	1.201	1.351	1.052
KIFC1	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF10	0.820	0.506	0.373	0.864	0.705	0.699	0.000	0.000	0.439	0.000	0.000	0.000	0.000
KLF17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF2	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF6	0.820	1.196	1.034	0.650	0.413	1.261	0.694	0.705	0.000	0.754	1.201	1.191	1.052
KLHL24	0.276	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	1.000	0.000
KLHL34	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KMT5A	0.670	0.506	0.000	0.377	0.000	0.409	0.406	0.000	0.000	0.000	0.000	0.000	0.000
KNL1	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KNSTRN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KNTC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KPNA2	0.000	0.506	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.446	0.000	0.000	0.483
KPNB1	1.351	2.258	1.624	2.223	1.723	2.089	1.100	1.724	1.461	1.891	1.731	1.817	0.808
KRT17	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
